name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
A Nightmare on Elm Street 5: The Dream Child,R,Fantasy,1989,"August 11, 1989 (United States)",5.1,42000,Stephen Hopkins,Wes Craven,Robert Englund,United States,6000000,22168359,New Line Cinema,89
Dream a Little Dream,PG-13,Comedy,1989,"March 3, 1989 (United States)",5.8,6500,Marc Rocco,Daniel Jay Franklin,Corey Feldman,United States,,5552441,Lightning Pictures,114
Halloween 5: The Revenge of Michael Myers,R,Horror,1989,"October 13, 1989 (United States)",5.1,36000,Dominique Othenin-Girard,John Carpenter,Donald Pleasence,United States,5000000,11642254,Magnum Pictures Inc.,96
DeepStar Six,R,Action,1989,"January 13, 1989 (United States)",5.4,11000,Sean S. Cunningham,Lewis Abernathy,Greg Evigan,United States,8000000,8143225,Carolco Entertainment,99
Sea of Love,R,Crime,1989,"September 15, 1989 (United States)",6.8,39000,Harold Becker,Richard Price,Al Pacino,United States,19000000,110879513,Universal Pictures,113
Skin Deep,R,Comedy,1989,"March 3, 1989 (United States)",6.1,4200,Blake Edwards,Blake Edwards,John Ritter,United States,9000000,19674852,Beco Films,101
K-9,PG-13,Action,1989,"April 28, 1989 (United States)",6,32000,Rod Daniel,Steven Siegel,Jim Belushi,United States,17000000,78247647,Gordon Company,101
Lean on Me,PG-13,Drama,1989,"March 3, 1989 (United States)",7.4,19000,John G. Avildsen,Michael Schiffer,Morgan Freeman,United States,10000000,31906454,Norman Twain Productions,108
Henry V,PG-13,Action,1989,"November 8, 1989 (United States)",7.5,29000,Kenneth Branagh,William Shakespeare,Kenneth Branagh,United Kingdom,9000000,10161099,Renaissance Films,137
She's Out of Control,PG,Comedy,1989,"April 14, 1989 (United States)",5.4,4100,Stan Dragoti,Seth Winston,Tony Danza,United States,,12065892,Weintraub Entertainment Group,90
Friday the 13th Part VIII: Jason Takes Manhattan,R,Adventure,1989,"July 28, 1989 (United States)",4.6,35000,Rob Hedden,Rob Hedden,Jensen Daggett,Canada,5000000,14343976,Paramount Pictures,100
Teen Witch,PG-13,Comedy,1989,"April 28, 1989 (United States)",6.1,8600,Dorian Walker,Robin Menken,Robyn Lively,United States,,27843,Trans World Entertainment (TWE),90
Valmont,R,Drama,1989,"November 17, 1989 (United States)",7,13000,Milos Forman,Choderlos de Laclos,Colin Firth,France,33000000,1132112,Renn Productions,137
Scandal,R,Drama,1989,"April 28, 1989 (United States)",6.5,4800,Michael Caton-Jones,Michael Thomas,John Hurt,United Kingdom,7000000,8800000,British Screen Productions,106
The Fabulous Baker Boys,R,Comedy,1989,"October 13, 1989 (United States)",6.9,22000,Steve Kloves,Steve Kloves,Jeff Bridges,United States,13000000,18428904,Gladden Entertainment,114
Shocker,R,Comedy,1989,"October 27, 1989 (United States)",5.5,15000,Wes Craven,Wes Craven,Michael Murphy,United States,5000000,16554699,Alive Films,109
Next of Kin,R,Action,1989,"October 20, 1989 (United States)",5.8,9700,John Irvin,Michael Jenning,Patrick Swayze,United States,12000000,15942628,Lorimar Film Entertainment,108
The Fly II,R,Drama,1989,"February 10, 1989 (United States)",5.1,22000,Chris Walas,Mick Garris,Eric Stoltz,United States,,38903179,Brooksfilms,105
She-Devil,PG-13,Comedy,1989,"December 8, 1989 (United States)",5.6,17000,Susan Seidelman,Fay Weldon,Meryl Streep,United States,,15351421,Orion Pictures,99
Mystery Train,R,Comedy,1989,"November 17, 1989 (United States)",7.6,26000,Jim Jarmusch,Jim Jarmusch,Masatoshi Nagase,Japan,2800000,1544973,JVC Entertainment Networks,110
Blaze,R,Biography,1989,"December 13, 1989 (United States)",6,3600,Ron Shelton,Blaze Starr,Paul Newman,United States,22000000,19131246,Touchstone Pictures,120
The Rainbow,R,Action,1989,"May 26, 1989 (United States)",6.2,1400,Ken Russell,Ken Russell,Sammi Davis,United Kingdom,11987578,444055,Vestron Pictures,113
Gleaming the Cube,PG-13,Action,1989,"January 13, 1989 (United States)",6.3,7400,Graeme Clifford,Michael Tolkin,Christian Slater,United States,10000000,2777280,David Foster Productions,105
Fletch Lives,PG,Comedy,1989,"March 17, 1989 (United States)",6.1,20000,Michael Ritchie,Gregory McDonald,Chevy Chase,United States,8000000,39450960,Universal Pictures,95
Communion,R,Biography,1989,"November 10, 1989 (United States)",5.6,5900,Philippe Mora,Whitley Strieber,Christopher Walken,United States,5000000,1919653,Allied Vision,107
Erik the Viking,PG-13,Comedy,1989,"September 22, 1989 (United States)",6.2,13000,Terry Jones,Terry Jones,Tim Robbins,United Kingdom,,1932642,KB Erik the Viking,107
Crimes and Misdemeanors,PG-13,Comedy,1989,"November 3, 1989 (United States)",7.9,56000,Woody Allen,Woody Allen,Martin Landau,United States,19000000,18254702,Jack Rollins & Charles H. Joffe Productions,104
An Innocent Man,R,Action,1989,"October 6, 1989 (United States)",6.5,6300,Peter Yates,Larry Brothers,Tom Selleck,United States,,20047604,Interscope Communications,113
Let It Ride,PG-13,Comedy,1989,"August 18, 1989 (United States)",6.8,5300,Joe Pytka,Jay Cronley,Richard Dreyfuss,United States,18000000,4973285,Alleged Productions,90
Loverboy,PG-13,Comedy,1989,"April 28, 1989 (United States)",6.1,7500,Joan Micklin Silver,Robin Schiff,Patrick Dempsey,United States,,3960327,Crescent Film Enterprises,98
Kill Me Again,R,Action,1989,"October 27, 1989 (United States)",6.3,4600,John Dahl,John Dahl,Val Kilmer,United States,4000000,283694,Incorporated Television Company (ITC),94
The Gods Must Be Crazy II,PG,Comedy,1989,"April 13, 1990 (United States)",6.9,16000,Jamie Uys,Jamie Uys,N!xau,South Africa,,6291444,Elrina Investment,98
Millennium,PG-13,Drama,1989,"August 25, 1989 (United States)",5.8,6100,Michael Anderson,John Varley,Kris Kristofferson,United States,,5777099,First Millenium Partnership,108
Chances Are,PG,Comedy,1989,"March 10, 1989 (United States)",6.5,11000,Emile Ardolino,Perry Howze,Cybill Shepherd,United States,16000000,16278590,TriStar Pictures,108
The Dream Team,PG-13,Comedy,1989,"April 7, 1989 (United States)",6.5,13000,Howard Zieff,Jon Connolly,Michael Keaton,United States,15000000,28890240,Universal Pictures,113
Last Exit to Brooklyn,R,Drama,1989,"May 4, 1990 (United States)",6.8,5900,Uli Edel,Hubert Selby Jr.,Jennifer Jason Leigh,United Kingdom,,1730005,Allied Filmmakers,102
Little Nemo: Adventures in Slumberland,G,Animation,1989,"August 21, 1992 (United States)",7.1,7000,Masami Hata,Chris Columbus,Gabriel Damon,Japan,35000000,1368000,TMS Entertainment,85
Kinjite: Forbidden Subjects,R,Action,1989,"February 3, 1989 (United States)",5.5,2900,J. Lee Thompson,Harold Nebenzal,Charles Bronson,United States,5000000,3416846,Golan-Globus Productions,97
Great Balls of Fire!,PG-13,Biography,1989,"June 30, 1989 (United States)",6.2,16000,Jim McBride,Myra Lewis,Dennis Quaid,United States,,13741060,Orion Pictures,108
New York Stories,PG,Comedy,1989,"March 10, 1989 (United States)",6.4,17000,Woody Allen,Richard Price,Woody Allen,United States,15000000,10763469,Touchstone Pictures,124
Cousins,PG-13,Comedy,1989,"February 10, 1989 (United States)",6.3,4300,Joel Schumacher,Jean-Charles Tacchella,Ted Danson,United States,13000000,22026369,Paramount Pictures,113
Blind Fury,R,Action,1989,"March 16, 1990 (United States)",6.4,16000,Phillip Noyce,Ryôzô Kasahara,Rutger Hauer,United States,10000000,2692037,TriStar Pictures,86
The Return of Swamp Thing,PG-13,Action,1989,"May 12, 1989 (United States)",4.7,4400,Jim Wynorski,Neil Cuthbert,Dick Durock,United States,4000000,192816,Lightyear Entertainment,88
The January Man,R,Action,1989,"January 13, 1989 (United States)",5.6,6700,Pat O'Connor,John Patrick Shanley,Kevin Kline,United States,,4611062,Metro-Goldwyn-Mayer (MGM),97
We're No Angels,PG-13,Comedy,1989,"December 15, 1989 (United States)",6.1,22000,Neil Jordan,David Mamet,Robert De Niro,United States,20000000,10555348,Paramount Pictures,106
Johnny Handsome,R,Crime,1989,"September 29, 1989 (United States)",6.1,9200,Walter Hill,John Godey,Mickey Rourke,United States,20000000,7237794,Carolco Pictures,94
Who's Harry Crumb?,PG-13,Comedy,1989,"February 3, 1989 (United States)",5.9,15000,Paul Flaherty,Robert Conte,John Candy,United States,,10982364,TriStar Pictures,94
The Mighty Quinn,R,Action,1989,"February 17, 1989 (United States)",6,5200,Carl Schenkel,Albert Z. Carr,Denzel Washington,United States,,4557214,A&M Films,98
Fat Man and Little Boy,PG-13,Biography,1989,"October 20, 1989 (United States)",6.5,7200,Roland Joffé,Bruce Robinson,Paul Newman,United States,30000000,3563162,Paramount Pictures,127
Police Academy 6: City Under Siege,PG,Comedy,1989,"March 10, 1989 (United States)",4.4,29000,Peter Bonerz,Neal Israel,Bubba Smith,United States,12000000,11567217,Warner Bros.,84
Her Alibi,PG,Comedy,1989,"February 3, 1989 (United States)",5.8,6900,Bruce Beresford,Charlie Peters,Tom Selleck,United States,,18699037,Warner Bros.,94
The Blood of Heroes,R,Action,1989,"February 23, 1990 (United States)",6.5,6500,David Webb Peoples,David Webb Peoples,Rutger Hauer,Australia,,882290,Kings Road Entertainment,90
Pink Cadillac,PG-13,Action,1989,"May 26, 1989 (United States)",5.4,11000,Buddy Van Horn,John Eskow,Clint Eastwood,United States,19000000,12143484,Malpaso Productions,122
Three Fugitives,PG-13,Action,1989,"January 27, 1989 (United States)",6.2,11000,Francis Veber,Francis Veber,Nick Nolte,United States,15000000,40586886,Touchstone Pictures,96
Robot Jox,PG,Action,1989,"November 21, 1990 (United States)",5.4,6000,Stuart Gordon,Stuart Gordon,Gary Graham,United States,10000000,1272977,Empire Pictures,85
No Holds Barred,PG-13,Action,1989,"June 2, 1989 (United States)",4.4,6000,Thomas J. Wright,Dennis Hackin,Hulk Hogan,United States,8000000,16093651,New Line Cinema,93
Family Business,R,Crime,1989,"December 15, 1989 (United States)",5.7,12000,Sidney Lumet,Vincent Patrick,Sean Connery,United States,,12195695,TriStar Pictures,110
Wicked Stepmother,PG-13,Comedy,1989,"February 3, 1989 (United States)",4.3,1800,Larry Cohen,Larry Cohen,Bette Davis,United States,2500000,,Larco Productions,90
Chattahoochee,R,Biography,1989,"April 20, 1990 (United States)",6.3,1900,Mick Jackson,James Cresson,Gary Oldman,United States,,259486,Hemdale,98
Stepfather II: Make Room for Daddy,R,Horror,1989,"November 3, 1989 (United States)",5.7,3700,Jeff Burr,Carolyn Lefcourt,Terry O'Quinn,United Kingdom,1500000,1519796,Incorporated Television Company (ITC),93
Eddie and the Cruisers II: Eddie Lives!,PG-13,Drama,1989,"August 18, 1989 (United States)",6.2,2800,Jean-Claude Lord,P.F. Kluge,Michael Paré,Canada,,536508,Scotti Brothers Pictures (I),104
The Big Picture,PG-13,Comedy,1989,"December 15, 1989 (Brazil)",6.2,4800,Christopher Guest,Michael Varhol,Kevin Bacon,United States,5000000,117463,Aspen Film Society,100
Parents,R,Comedy,1989,"January 27, 1989 (United States)",6.1,6800,Bob Balaban,Christopher Hawthorne,Randy Quaid,Canada,3000000,870532,Great American Films Limited Partnership,81
Jacknife,R,Drama,1989,"March 10, 1989 (United States)",6.3,5600,David Hugh Jones,Stephen Metcalfe,Robert De Niro,United States,,2049769,Kings Road Entertainment,102
Dad,PG,Comedy,1989,"November 10, 1989 (United States)",6.3,4700,Gary David Goldberg,William Wharton,Jack Lemmon,United States,19000000,27503037,Amblin Entertainment,117
Speed Zone,PG,Action,1989,"April 21, 1989 (United States)",4.5,3200,Jim Drake,Michael Short,Peter Boyle,Canada,18000000,3077361,Canadian International Studios VIII,94
How to Get Ahead in Advertising,R,Comedy,1989,"March 29, 1990 (West Germany)",6.9,5700,Bruce Robinson,Bruce Robinson,Richard E. Grant,United Kingdom,,418053,HandMade Films,90
Lisa,PG-13,Drama,1989,"October 20, 1989 (Argentina)",6,1700,Gary Sherman,Gary Sherman,Staci Keanan,United States,,4347648,Gary Sherman Productions,95
Out Cold,R,Comedy,1989,"March 3, 1989 (United States)",5.5,703,Malcolm Mowbray,Leonard Glasser,John Lithgow,United States,,294266,Braunstein and Hamady Productions,92
Longtime Companion,R,Drama,1989,"May 1, 1990 (Portugal)",7.6,5400,Norman René,Craig Lucas,Stephen Caffrey,United States,3000000,4609953,American Playhouse,96
Happily Ever After,G,Animation,1989,"May 28, 1993 (United States)",5.6,2200,John Howley,Martha Moran,Edward Asner,United States,,3299382,Filmation Associates,75
Heart of Dixie,PG,Drama,1989,"August 25, 1989 (United States)",5.2,677,Martin Davidson,Anne Rivers Siddons,Ally Sheedy,United States,8000000,1097333,,95
Tap,PG-13,Comedy,1989,"February 10, 1989 (United States)",6.5,1500,Nick Castle,Nick Castle,Gregory Hines,United States,,9114702,Beco Films,111
A Dry White Season,R,Drama,1989,"September 20, 1989 (United States)",7,5300,Euzhan Palcy,André P. Brink,Donald Sutherland,United States,9000000,3766879,Davros Films,106
The Phantom of the Opera,R,Drama,1989,"November 3, 1989 (United States)",5.5,3800,Dwight H. Little,Gaston Leroux,Robert Englund,United States,,3953745,21st Century Film Corporation,93
The Experts,PG-13,Comedy,1989,"January 13, 1989 (United States)",4.8,2300,Dave Thomas,Steven Greene,John Travolta,Canada,,169203,Paramount Pictures,94
Triumph of the Spirit,R,Biography,1989,"December 23, 1989 (South Korea)",6.8,2300,Robert M. Young,Shimon Arama,Willem Dafoe,United States,,408839,Nova International Films,120
The Unbelievable Truth,R,Comedy,1989,"November 8, 1990 (Australia)",7.3,5000,Hal Hartley,Hal Hartley,Adrienne Shelly,United States,75000,,Action Features,90
True Believer,R,Crime,1989,"February 17, 1989 (United States)",6.7,4500,Joseph Ruben,Wesley Strick,James Woods,United States,,8742750,Columbia Pictures,108
The Horror Show,R,Horror,1989,"April 28, 1989 (United States)",5,3600,James Isaac,Allyn Warner,Lance Henriksen,United States,3000000,1738897,Sean S. Cunningham Films,95
The Tall Guy,R,Comedy,1989,"September 21, 1990 (United States)",6.2,4500,Mel Smith,Richard Curtis,Jeff Goldblum,United Kingdom,,510712,London Weekend Television (LWT),92
The Toxic Avenger Part II,R,Action,1989,"February 24, 1989 (United States)",5.1,6200,Michael Herz,Lloyd Kaufman,Ron Fazio,United States,2300000,792966,Lorimar Film Entertainment,102
Dead Bang,R,Action,1989,"March 24, 1989 (United States)",6.1,3500,John Frankenheimer,Robert Foster,Don Johnson,United States,14500000,8125592,Lorimar Film Entertainment,102
Music Box,PG-13,Crime,1989,"January 19, 1990 (United States)",7.4,7200,Costa-Gavras,Joe Eszterhas,Jessica Lange,United States,,6263883,Carolco Pictures,124
Gross Anatomy,PG-13,Drama,1989,"October 20, 1989 (United States)",6.1,3600,Thom Eberhardt,Mark Spragg,Matthew Modine,United States,8500000,11604598,Hill/Rosenman,109
Violent Cop,Not Rated,Action,1989,"July 16, 1999 (United States)",7.2,11000,Takeshi Kitano,Hisashi Nozawa,Takeshi Kitano,Japan,,,Bandai Media Department,103
Renegades,R,Action,1989,"June 2, 1989 (United States)",5.4,3300,Jack Sholder,David Rich,Kiefer Sutherland,United States,16000000,9015164,Morgan Creek Entertainment,106
Sing,PG-13,Drama,1989,"March 31, 1989 (United States)",6.9,716,Richard Baskin,Dean Pitchford,Lorraine Bracco,United States,11500000,2260616,TriStar Pictures,98
Sweetie,R,Comedy,1989,"September 28, 1989 (Australia)",6.8,3500,Jane Campion,Gerard Lee,Geneviève Lemon,Australia,,938562,Arenafilm,97
Listen to Me,PG-13,Drama,1989,"May 5, 1989 (United States)",5.3,1000,Douglas Day Stewart,Douglas Day Stewart,Kirk Cameron,United States,,4299023,Weintraub Entertainment Group,107
Miss Firecracker,PG,Comedy,1989,"January 19, 1990 (Sweden)",6,2000,Thomas Schlamme,Beth Henley,Holly Hunter,United States,,1852655,Corsair Pictures,102
The Rachel Papers,R,Drama,1989,"May 12, 1989 (United States)",6.1,1900,Damian Harris,Damian Harris,Dexter Fletcher,United Kingdom,,201468,Initial Film and Television,95
Wired,R,Biography,1989,"August 25, 1989 (United States)",3.7,790,Larry Peerce,Bob Woodward,Michael Chiklis,United States,,1089000,FM Entertainment,112
Lost Angels,R,Drama,1989,"May 5, 1989 (United States)",6,881,Hugh Hudson,Michael Weller,Donald Sutherland,United States,,1247946,,116
Jesus of Montreal,R,Drama,1989,"May 25, 1990 (United States)",7.5,6800,Denys Arcand,Denys Arcand,Lothaire Bluteau,Canada,,1601612,Max Films Productions,120
Rooftops,R,Action,1989,"March 17, 1989 (United States)",4.8,490,Robert Wise,Allan A. Goldstein,Jason Gedrick,United States,,2043889,Koch Company,98
After Midnight,R,Horror,1989,"November 3, 1989 (United States)",5.5,1700,Jim Wheat,Ken Wheat,Jillian McWhirter,United States,3000000,76325,High Bar Productions,90
Disorganized Crime,R,Action,1989,"April 14, 1989 (United States)",6.3,2200,Jim Kouf,Jim Kouf,Hoyt Axton,United States,,7723506,Kouf/Bigelow Productions,98
Slaves of New York,R,Comedy,1989,March 1989 (United States),5.7,917,James Ivory,Tama Janowitz,Bernadette Peters,United States,,463972,TriStar Pictures,124
Damned River,R,Action,1989,"October 13, 1989 (United States)",5,201,Michael Schroeder,John Crowther,Stephen Shellen,United States,5000000,,Metro-Goldwyn-Mayer (MGM),95
My Twentieth Century,,Comedy,1989,"January 13, 1990 (Japan)",7.1,1500,Ildikó Enyedi,Ildikó Enyedi,Dorota Segda,Hungary,,,Budapest Stúdió Vállalat,104
Scenes from the Class Struggle in Beverly Hills,R,Comedy,1989,July 1989 (United States),6,1200,Paul Bartel,Paul Bartel,Jacqueline Bisset,United States,,2156471,North Street Films,103
The Terror Within,R,Horror,1989,"January 20, 1989 (United States)",4.8,1600,Thierry Notz,Thomas McKelvey Cleaver,Andrew Stevens,United States,,858591,Concorde Pictures,88
Farewell to the King,PG-13,Action,1989,"March 3, 1989 (United States)",6.3,2700,John Milius,Pierre Schoendoerffer,Nick Nolte,United States,20000000,2420917,Cine Location Services,117
See You in the Morning,PG-13,Drama,1989,"April 21, 1989 (United States)",5.8,849,Alan J. Pakula,Alan J. Pakula,Jeff Bridges,United States,,4795009,Lorimar Film Entertainment,119
"I, Madman",R,Fantasy,1989,"April 7, 1989 (United States)",6,2900,Tibor Takács,David Chaskin,Jenny Wright,Canada,,,Trans World Entertainment (TWE),89
Immediate Family,PG-13,Drama,1989,"October 27, 1989 (United States)",6,1500,Jonathan Kaplan,Barbara Benedek,Glenn Close,United States,14000000,5932613,Columbia Pictures,95
In Country,R,Drama,1989,"September 29, 1989 (United States)",5.9,2700,Norman Jewison,Bobbie Ann Mason,Emily Lloyd,United States,18000000,3531971,Warner Bros.,120
Winter People,PG-13,Drama,1989,"April 14, 1989 (United States)",6.2,1300,Ted Kotcheff,John Ehle,Kurt Russell,United States,,2023282,Castle Rock Entertainment,110
"Enemies, A Love Story",R,Comedy,1989,"December 13, 1989 (United States)",6.6,2100,Paul Mazursky,Isaac Bashevis Singer,Ron Silver,United States,9500000,7754571,Morgan Creek Entertainment,119
American Ninja 3: Blood Hunt,R,Action,1989,"February 24, 1989 (United States)",3.6,5000,Cedric Sundstrom,Avi Kleinberger,David Bradley,United States,,902152,Breton Film Productions,89
Physical Evidence,R,Crime,1989,"January 27, 1989 (United States)",5.1,1600,Michael Crichton,Steve Ransohoff,Burt Reynolds,United States,17000000,3560932,Columbia Pictures,99
Worth Winning,PG-13,Comedy,1989,"October 27, 1989 (United States)",5.8,1600,Will Mackenzie,Dan Lewandowski,Mark Harmon,United States,,3690328,A&M Films,103
Edge of Sanity,R,Horror,1989,"April 14, 1989 (United States)",5.2,1300,Gérard Kikoïne,J.P. Félix,Anthony Perkins,United Kingdom,,,Allied Vision,85
Brenda Starr,PG,Adventure,1989,"April 15, 1992 (United States)",4.8,1000,Robert Ellis Miller,Noreen Stone,Brooke Shields,United States,16000000,67878,AM/PM Entertainment,93
How I Got Into College,PG-13,Comedy,1989,"May 19, 1989 (United States)",5.8,2100,Savage Steve Holland,Terrel Seltzer,Anthony Edwards,United States,10000000,1642239,Twentieth Century Fox,86
Mortal Passions,R,Crime,1989,"January 26, 1990 (United States)",4.5,274,Andrew Lane,Alan Moskowitz,Zach Galligan,United States,,,Gibraltar Entertainment,92
Old Gringo,R,Adventure,1989,"October 6, 1989 (United States)",5.8,1800,Luis Puenzo,Carlos Fuentes,Jane Fonda,United States,34000000,3574256,Columbia Pictures,119
Relentless,R,Crime,1989,"August 30, 1989 (United States)",5.9,1400,William Lustig,Phil Alden Robinson,Judd Nelson,United States,4000000,6985999,Cinetel Films,92
Cheetah,G,Adventure,1989,"August 18, 1989 (United States)",6,943,Jeff Blyth,Alan Caillou,Keith Coogan,United States,5000000,8153677,Silver Screen Partners III,83
Monsieur Hire,PG-13,Crime,1989,June 1990 (United States),7.6,6100,Patrice Leconte,Georges Simenon,Michel Blanc,France,,1417030,Cinéa,81
Prancer,G,Drama,1989,"November 17, 1989 (United States)",6.4,4800,John D. Hancock,Greg Taylor,Sam Elliott,United States,,18587135,Cineplex Odeon Films,103
Too Beautiful for You,R,Comedy,1989,April 1990 (United States),6.8,2600,Bertrand Blier,Bertrand Blier,Gérard Depardieu,France,,1776440,Ciné Valse,91
Getting It Right,R,Comedy,1989,"May 5, 1989 (United States)",6.4,659,Randal Kleiser,Elizabeth Jane Howard,Jesse Birdsall,United Kingdom,,960385,Management Company Entertainment Group (MCEG),102
Rude Awakening,R,Comedy,1989,"August 16, 1989 (United States)",4.8,1200,David Greenwalt,Neil Levy,Cheech Marin,United States,10000000,3169719,Aaron Russo Entertainment,100
Cookie,R,Comedy,1989,"August 23, 1989 (United States)",5.4,1200,Susan Seidelman,Nora Ephron,Peter Falk,United States,,1869417,Lorimar Film Entertainment,94
Bloodhounds of Broadway,PG,Comedy,1989,"November 3, 1989 (United States)",5.5,1200,Howard Brookner,Howard Brookner,Josef Sommer,United States,4000000,43671,American Playhouse Theatrical Films,93
The Toxic Avenger Part III: The Last Temptation of Toxie,R,Action,1989,"November 24, 1989 (United States)",4.4,4300,Michael Herz,Lloyd Kaufman,Ron Fazio,United States,,363561,Troma Entertainment,102
River of Death,R,Action,1989,"September 29, 1989 (United States)",4.3,1100,Steve Carver,Alistair MacLean,Michael Dudikoff,United States,,,Breton Film Productions,107
Staying Together,R,Comedy,1989,"November 10, 1989 (United States)",6.2,761,Lee Grant,Monte Merrick,Sean Astin,United States,,4348025,,91
Fast Food,PG-13,Comedy,1989,"April 28, 1989 (United States)",4.5,653,Michael A. Simpson,Scott B. Sowers,Clark Brandon,United States,,,Double Helix Films,92
Martians Go Home,PG-13,Comedy,1989,"April 20, 1990 (United States)",3.1,666,David Odell,Fredric Brown,Randy Quaid,United States,,129778,Edward R. Pressman Productions,89
Night Game,R,Crime,1989,"September 15, 1989 (United States)",4.9,710,Peter Masterson,Spencer Eastman,Roy Scheider,United States,,337812,Epic Productions,95
Romero,PG-13,Biography,1989,"August 25, 1989 (United States)",7.2,2100,John Duigan,John Sacret Young,Raul Julia,United States,,1316495,Paulist Pictures,102
84C MoPic,R,Drama,1989,"April 7, 1989 (United States)",6.9,1700,Patrick Sheane Duncan,Patrick Sheane Duncan,Jonathan Emerson,United States,,,Charlie Mopic,95
Rosalie Goes Shopping,PG,Comedy,1989,May 1990 (United States),5.8,877,Percy Adlon,Christopher Doherty,Marianne Sägebrecht,United States,,574080,Bayerischer Rundfunk (BR),94
True Love,R,Comedy,1989,"September 15, 1989 (United States)",6,696,Nancy Savoca,Nancy Savoca,Annabella Sciorra,United States,,1354268,United Artists,104
Second Sight,PG,Comedy,1989,"November 3, 1989 (United States)",4.4,1300,Joel Zwick,Tom Schulman,John Larroquette,United States,,5368865,Lorimar Film Entertainment,83
A Chorus of Disapproval,PG,Comedy,1989,"November 3, 1989 (United Kingdom)",5.6,776,Michael Winner,Alan Ayckbourn,Jeremy Irons,United Kingdom,,216373,Curzon Films,92
The Lemon Sisters,PG-13,Comedy,1989,"August 31, 1990 (United States)",5,694,Joyce Chopra,Jeremy Pikser,Diane Keaton,United States,9000000,3473905,Lightyear Entertainment,93
Breaking In,R,Adventure,1989,"October 13, 1989 (United States)",6.1,1400,Bill Forsyth,John Sayles,Burt Reynolds,United States,6000000,1877618,Act III Communications,94
Crack House,R,Action,1989,"November 10, 1989 (United States)",5.5,353,Michael Fischa,Blake Schaffer,Jim Brown,United States,,862551,Silverman Entertainment,90
Goodfellas,R,Biography,1990,"September 21, 1990 (United States)",8.7,1100000,Martin Scorsese,Nicholas Pileggi,Robert De Niro,United States,25000000,46963277,Warner Bros.,146
The Godfather: Part III,R,Crime,1990,"December 25, 1990 (United States)",7.6,370000,Francis Ford Coppola,Mario Puzo,Al Pacino,United States,54000000,136861392,Paramount Pictures,162
Total Recall,R,Action,1990,"June 1, 1990 (United States)",7.5,310000,Paul Verhoeven,Philip K. Dick,Arnold Schwarzenegger,United States,65000000,261317921,Carolco Pictures,113
Pretty Woman,R,Comedy,1990,"March 23, 1990 (United States)",7,299000,Garry Marshall,J.F. Lawton,Richard Gere,United States,14000000,463406268,Touchstone Pictures,119
Home Alone,PG,Comedy,1990,"November 16, 1990 (United States)",7.6,501000,Chris Columbus,John Hughes,Macaulay Culkin,United States,18000000,476684675,Hughes Entertainment,103
Ghost,PG-13,Drama,1990,"July 13, 1990 (United States)",7.1,203000,Jerry Zucker,Bruce Joel Rubin,Patrick Swayze,United States,22000000,505703557,Paramount Pictures,127
Dances with Wolves,PG-13,Adventure,1990,"November 21, 1990 (United States)",8,247000,Kevin Costner,Michael Blake,Kevin Costner,United States,22000000,424208848,Tig Productions,181
Tremors,PG-13,Comedy,1990,"January 19, 1990 (United States)",7.1,126000,Ron Underwood,S.S. Wilson,Kevin Bacon,United States,11000000,16667084,Universal Pictures,96
Die Hard 2,R,Action,1990,"July 3, 1990 (United States)",7.1,344000,Renny Harlin,Steven E. de Souza,Bruce Willis,United States,70000000,240031274,Twentieth Century Fox,124
Misery,R,Drama,1990,"November 30, 1990 (United States)",7.8,191000,Rob Reiner,Stephen King,James Caan,United States,20000000,61276872,Castle Rock Entertainment,107
Kindergarten Cop,PG-13,Action,1990,"December 21, 1990 (United States)",6.2,140000,Ivan Reitman,Murray Salem,Arnold Schwarzenegger,United States,15000000,201957688,Universal Pictures,111
The Bonfire of the Vanities,R,Comedy,1990,"December 21, 1990 (United States)",5.6,22000,Brian De Palma,Michael Cristofer,Tom Hanks,United States,47000000,15691192,Warner Bros.,125
Teenage Mutant Ninja Turtles,PG,Action,1990,"March 30, 1990 (United States)",6.8,88000,Steve Barron,Kevin Eastman,Judith Hoag,United States,13500000,201965915,888 Productions,93
Edward Scissorhands,PG-13,Drama,1990,"December 14, 1990 (United States)",7.9,456000,Tim Burton,Tim Burton,Johnny Depp,United States,20000000,86024005,Twentieth Century Fox,105
The Hunt for Red October,PG,Action,1990,"March 2, 1990 (United States)",7.6,186000,John McTiernan,Tom Clancy,Sean Connery,United States,30000000,200512643,Paramount Pictures,135
Dick Tracy,PG,Action,1990,"June 15, 1990 (United States)",6.1,59000,Warren Beatty,Chester Gould,Warren Beatty,United States,47000000,162738726,Touchstone Pictures,105
Awakenings,PG-13,Biography,1990,"January 11, 1991 (United States)",7.8,130000,Penny Marshall,Oliver Sacks,Robert De Niro,United States,31000000,52096475,Columbia Pictures,121
The Handmaid's Tale,R,Drama,1990,"March 9, 1990 (United States)",6,9100,Volker Schlöndorff,Margaret Atwood,Natasha Richardson,United States,,4960385,Bioskop Film,108
Wild at Heart,R,Comedy,1990,"August 17, 1990 (United States)",7.2,86000,David Lynch,Barry Gifford,Nicolas Cage,United States,9500000,14561425,PolyGram Filmed Entertainment,125
Predator 2,R,Action,1990,"November 21, 1990 (United States)",6.3,151000,Stephen Hopkins,Jim Thomas,Danny Glover,United States,35000000,57120318,Davis Entertainment,108
